country,avg_annual_articles,avg_cit_per_article,total_patent_apps,patent_field_diversity,total_estimated_investment,has_publications,has_citations,has_patents,has_investment
Latvia,118.0,11.688361528822055,2.0,1.0,28.0,True,True,True,True
Lebanon,370.0,18.658272568286574,,,2.0,True,True,False,True
Lesotho,1.6666666666666667,3.5,,,,True,True,False,False
Liberia,5.0,8.616161616161616,,,,True,True,False,False
Libya,101.33333333333333,9.74472558922559,,,,True,True,False,False
Liechtenstein,15.333333333333334,34.270833333333336,,,,True,True,False,False
Lithuania,255.33333333333334,19.405298077461897,28.0,11.0,360.0,True,True,True,True
Luxembourg,275.3333333333333,17.075525643622957,37.0,9.0,370.0,True,True,True,True
Madagascar,12.666666666666666,8.659722222222221,,,5.0,True,True,False,True
Malawi,17.666666666666668,18.866666666666667,,,,True,True,False,False
Malaysia,3486.6666666666665,14.860300712868437,117.0,11.0,521.0,True,True,True,True
Maldives,4.333333333333333,14.885714285714286,,,,True,True,False,False
Mali,6.0,11.111111111111112,,,,True,True,False,False
Malta,98.33333333333333,10.944325275224152,,,83.0,True,True,False,True
Mauritania,5.666666666666667,4.358333333333333,,,,True,True,False,False
Mauritius,42.333333333333336,8.818522571819425,,,141.0,True,True,False,True
Mexico,1347.3333333333333,10.51141716811359,470.0,11.0,1136.0,True,True,True,True
Moldova,18.666666666666668,2.242081447963801,,,,True,True,False,False
Monaco,1.0,37.5,,,,True,True,False,False
Mongolia,38.333333333333336,8.752240937746256,,,0.0,True,True,False,True
Montenegro,33.333333333333336,8.24222582972583,,,,True,True,False,False
Morocco,1128.6666666666667,11.769322631969759,26.0,11.0,5.0,True,True,True,True
Mozambique,10.666666666666666,12.118736383442267,,,,True,True,False,False
Myanmar,50.0,9.920514864708329,,,,True,True,False,False
Namibia,18.333333333333332,19.53675213675214,,,,True,True,False,False
Nepal,130.0,17.504291391870165,,,,True,True,False,False
Netherlands,4174.0,20.878728234687102,72.0,9.0,9001.0,True,True,True,True
New Zealand,815.3333333333334,19.98067504682206,75.0,11.0,2234.0,True,True,True,True
Nicaragua,2.3333333333333335,112.41666666666667,,,,True,True,False,False
Niger,4.0,9.366666666666667,,,,True,True,False,False
Nigeria,906.3333333333334,12.973577995119896,,,139.0,True,True,False,True
North Korea,12.666666666666666,4.6815476190476195,,,,True,True,False,False
North Macedonia,102.66666666666667,11.704244031830237,,,1.0,True,True,False,True
Norway,1803.0,19.644931048958128,24.0,11.0,1809.0,True,True,True,True
Oman,279.6666666666667,17.425063336257367,1.0,2.0,3.0,True,True,True,True
Pakistan,3138.0,22.41293799316991,,,21.0,True,True,False,True
Panama,28.333333333333332,8.073076923076924,2.0,1.0,2.0,True,True,True,True
Papua New Guinea,13.666666666666666,14.215873015873015,,,,True,True,False,False
Paraguay,28.666666666666668,7.879936120789779,,,0.0,True,True,False,True
Peru,421.0,7.886289069898641,25.0,11.0,11.0,True,True,True,True
Philippines,752.3333333333334,7.910363147363576,62.0,11.0,162.0,True,True,True,True
Poland,2322.6666666666665,14.758179994223683,131.0,11.0,945.0,True,True,True,True
Portugal,1866.3333333333333,14.854540545468822,52.0,10.0,1115.0,True,True,True,True
Qatar,575.6666666666666,33.764740804196656,,,22.0,True,True,False,True
Romania,1275.6666666666667,11.180743213589897,33.0,5.0,179.0,True,True,True,True
Russia,4045.3333333333335,6.405085307245739,985.0,11.0,405.0,True,True,True,True
Rwanda,69.66666666666667,17.7011651560322,,,,True,True,False,False
Saint Kitts and Nevis,3.0,4.0,,,4.0,True,True,False,True
Saint Lucia,3.0,19.5,,,,True,True,False,False
Saint Vincent and the Grenadines,1.0,3.0,,,,True,True,False,False
Samoa,3.0,5.666666666666667,,,,True,True,False,False
San Marino,1.5,10.0,3.0,4.0,,True,True,True,False
Saudi Arabia,4412.0,26.056046126501567,2.0,5.0,22624.0,True,True,True,True
Senegal,52.0,11.527447700966336,,,5.0,True,True,False,True
Serbia,509.0,12.961239006091946,20.0,10.0,97.0,True,True,True,True
Seychelles,1.0,17.0,,,65.0,True,True,False,True
Sierra Leone,2.6666666666666665,8.666666666666666,,,,True,True,False,False
Singapore,3762.0,35.170806113521934,602.0,11.0,16718.0,True,True,True,True
Slovakia,449.0,12.611958283507306,8.0,,144.0,True,True,True,True
Slovenia,404.3333333333333,16.196247732145803,13.0,9.0,35.0,True,True,True,True
Somalia,7.0,8.147619047619047,,,,True,True,False,False
South Africa,931.6666666666666,19.107077136006797,19.0,10.0,1169.0,True,True,True,True
South Korea,9126.666666666666,20.099959849154924,23074.0,11.0,16484.0,True,True,True,True
South Sudan,1.0,,,,,True,False,False,False
South and Central America,5892.333333333333,9.902349663186076,,,,True,True,False,False
Spain,5445.0,16.719973531665772,497.0,11.0,4445.0,True,True,True,True
Sri Lanka,571.0,8.19787000230379,1.0,1.0,21.0,True,True,True,True
Sudan,87.66666666666667,15.654704944178627,,,,True,True,False,False
Suriname,1.0,5.0,,,,True,True,False,False
Swaziland,6.0,25.555555555555554,,,,True,True,False,False
Sweden,2440.6666666666665,20.26794902728528,102.0,11.0,39974.0,True,True,True,True
Switzerland,3676.6666666666665,28.62611692105301,20.0,10.0,11886.0,True,True,True,True
Syria,60.666666666666664,15.787072940443124,,,,True,True,False,False
São Tomé and Príncipe,1.0,19.0,,,,True,True,False,False
Taiwan,3823.3333333333335,15.986783331954683,1812.0,11.0,1401.0,True,True,True,True
Tajikistan,5.333333333333333,7.616666666666667,,,4.0,True,True,False,True
Tanzania,76.0,15.4206126171991,,,0.0,True,True,False,True
Thailand,1365.0,11.019338784828905,1.0,1.0,196.0,True,True,True,True
Timor-Leste,4.666666666666667,3.388888888888889,,,,True,True,False,False
Togo,5.666666666666667,27.61904761904762,,,,True,True,False,False
Tonga,1.0,26.0,,,,True,True,False,False
Trinidad and Tobago,26.333333333333332,9.436092955700799,,,0.0,True,True,False,True
Tunisia,833.0,24.666083104698018,1.0,,11.0,True,True,True,True
Turkey,4020.0,12.354817617795279,112.0,11.0,1245.0,True,True,True,True
Turkmenistan,3.0,,,,,True,False,False,False
Uganda,64.33333333333333,17.65255784865541,,,0.0,True,True,False,True
Ukraine,1160.3333333333333,4.869310327880759,24.0,5.0,333.0,True,True,True,True
United Arab Emirates,1906.0,31.43046527583307,,,4299.0,True,True,False,True
United Kingdom,14885.333333333334,25.52607303194323,1828.0,11.0,40938.0,True,True,True,True
United States,48214.666666666664,23.072853783067902,63326.0,11.0,849399.0,True,True,True,True
Uruguay,73.0,10.443145496056454,2.0,3.0,126.0,True,True,True,True
Uzbekistan,235.66666666666666,6.7184691294860786,,,0.0,True,True,False,True
Vatican City,2.5,17.125,,,,True,True,False,False
Venezuela,42.666666666666664,9.159393939393938,,,1.0,True,True,False,True
Vietnam,1820.3333333333333,12.283058552913303,,,139.0,True,True,False,True
World Intellectual Property Organization (WIPO),,,1966.0,11.0,,False,False,True,False
Yemen,194.33333333333334,21.00572848725651,,,,True,True,False,False
Zambia,26.666666666666668,20.107142857142858,,,1.0,True,True,False,True
Zimbabwe,33.666666666666664,7.578947368421052,,,1.0,True,True,False,True
