country,field,year,disclosed_investment,estimated_investment,complete,pillar,is_group
Argentina,Information Technology,2023,0.0,347,True,investment,False
Argentina,Information Technology,2024,1.0,1,True,investment,False
Argentina,Information Technology,2025,0.0,1,False,investment,False
Argentina,Manufacturing,2020,0.0,0,True,investment,False
Argentina,Media and Entertainment,2016,0.0,0,True,investment,False
Argentina,Media and Entertainment,2019,,0,True,investment,False
Argentina,Media and Entertainment,2023,0.0,0,True,investment,False
Argentina,"Military, public safety and government",2024,,0,True,investment,False
Argentina,"Mobile, platforms & Internet services",2015,0.0,0,True,investment,False
Argentina,"Mobile, platforms & Internet services",2016,,0,True,investment,False
Argentina,"Mobile, platforms & Internet services",2018,0.0,0,True,investment,False
Argentina,"Mobile, platforms & Internet services",2019,0.0,1,True,investment,False
Argentina,"Mobile, platforms & Internet services",2020,,0,True,investment,False
Argentina,"Mobile, platforms & Internet services",2021,1.0,1,True,investment,False
Argentina,"Mobile, platforms & Internet services",2022,0.0,0,True,investment,False
Argentina,"Mobile, platforms & Internet services",2023,0.0,352,True,investment,False
Argentina,"Mobile, platforms & Internet services",2024,1.0,3,True,investment,False
Argentina,NLP,2018,,1,True,investment,False
Argentina,NLP,2023,,344,True,investment,False
Argentina,Navigation and mapping,2016,,0,True,investment,False
Argentina,Navigation and mapping,2018,0.0,0,True,investment,False
Argentina,Other,2020,0.0,0,True,investment,False
Argentina,Other,2021,0.0,0,True,investment,False
Argentina,Other,2022,2.0,2,True,investment,False
Argentina,Other,2023,0.0,344,True,investment,False
Argentina,Other,2024,1.0,1,True,investment,False
Argentina,Other,2025,,1,False,investment,False
Argentina,Privacy and Security,2016,,0,True,investment,False
Argentina,Privacy and Security,2017,4.0,4,True,investment,False
Argentina,Privacy and Security,2020,2.0,2,True,investment,False
Argentina,Privacy and Security,2021,1.0,2,True,investment,False
Argentina,Professional services,2018,0.0,0,True,investment,False
Argentina,Professional services,2019,0.0,0,True,investment,False
Argentina,Professional services,2022,1.0,9,True,investment,False
Argentina,Professional services,2023,,346,True,investment,False
Argentina,Professional services,2024,1.0,1,True,investment,False
Argentina,Professional services,2025,,0,False,investment,False
Argentina,Robotics,2019,1.0,1,True,investment,False
Argentina,Robotics,2023,,0,True,investment,False
Argentina,"Sales, retail, commerce, marketing",2015,0.0,0,True,investment,False
Argentina,"Sales, retail, commerce, marketing",2016,0.0,0,True,investment,False
Argentina,"Sales, retail, commerce, marketing",2021,0.0,0,True,investment,False
Argentina,"Sales, retail, commerce, marketing",2024,0.0,0,True,investment,False
Argentina,Software,2015,0.0,0,True,investment,False
Argentina,Software,2016,,0,True,investment,False
Argentina,Software,2018,0.0,1,True,investment,False
Argentina,Software,2019,1.0,2,True,investment,False
Argentina,Software,2020,0.0,1,True,investment,False
Argentina,Software,2021,1.0,4,True,investment,False
Argentina,Software,2022,5.0,13,True,investment,False
Argentina,Software,2023,0.0,352,True,investment,False
Argentina,Software,2024,2.0,556,True,investment,False
Argentina,Software,2025,0.0,2,False,investment,False
Argentina,Sports,2020,0.0,0,True,investment,False
Argentina,Sports,2022,1.0,1,True,investment,False
Argentina,Telecommunications,2023,,344,True,investment,False
Argentina,Transportation,2020,0.0,0,True,investment,False
Armenia,Agriculture,2023,,0,True,investment,False
Armenia,Agriculture,2024,,0,True,investment,False
Armenia,All,2020,2.0,3,True,investment,False
Armenia,All,2021,7.0,7,True,investment,False
Armenia,All,2023,0.0,3,True,investment,False
Armenia,All,2024,14.0,14,True,investment,False
Armenia,All,2025,,0,False,investment,False
Armenia,Biotechnology,2023,,2,True,investment,False
Armenia,Consumer goods,2021,,0,True,investment,False
Armenia,Data and analytics,2020,0.0,2,True,investment,False
Armenia,Data and analytics,2021,1.0,1,True,investment,False
Armenia,Data and analytics,2023,,3,True,investment,False
Armenia,Data and analytics,2024,2.0,2,True,investment,False
Armenia,Finance,2024,0.0,0,True,investment,False
Armenia,General purpose,2020,0.0,2,True,investment,False
Armenia,General purpose,2021,1.0,1,True,investment,False
Armenia,General purpose,2023,,3,True,investment,False
Armenia,General purpose,2024,2.0,2,True,investment,False
Armenia,Hardware,2021,,0,True,investment,False
Armenia,Information Technology,2020,0.0,2,True,investment,False
Armenia,Information Technology,2021,1.0,1,True,investment,False
Armenia,Information Technology,2024,2.0,2,True,investment,False
Armenia,Media and Entertainment,2020,0.0,2,True,investment,False
Armenia,Media and Entertainment,2021,1.0,1,True,investment,False
Armenia,Media and Entertainment,2024,2.0,2,True,investment,False
Armenia,Other,2024,0.0,0,True,investment,False
Armenia,Professional services,2024,0.0,0,True,investment,False
Armenia,"Sales, retail, commerce, marketing",2023,,0,True,investment,False
Armenia,"Sales, retail, commerce, marketing",2024,,0,True,investment,False
Armenia,Software,2020,0.0,2,True,investment,False
Armenia,Software,2021,1.0,1,True,investment,False
Armenia,Software,2023,0.0,3,True,investment,False
Armenia,Software,2024,2.0,2,True,investment,False
Armenia,Software,2025,,0,False,investment,False
Australia,Agriculture,2015,0.0,0,True,investment,False
Australia,Agriculture,2017,2.0,2,True,investment,False
Australia,Agriculture,2018,2.0,2,True,investment,False
Australia,Agriculture,2019,1.0,5,True,investment,False
