provider_name,provider_id,provider_type,provider_hq_country,effective_country,input_name,input_id,input_name_full,input_type,production_stage,stage_id,input_data_year,share_provided,provision_year,input_market_size,source
ASM Pacific,P145,organization,SGP,SGP,Die attaching tools for IC,N131,Die attaching tools for IC,tool_resource,,,2024.0,10.7,2024,$1.1 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
ASM Pacific,P145,organization,SGP,SGP,Die attaching tools for non-IC,N132,Die attaching tools for non-IC,tool_resource,,,2024.0,33.9,2024,$276.2 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
ASM Pacific,P145,organization,SGP,SGP,Auto ball bonders for IC,N134,Auto ball bonders for IC,tool_resource,,,2024.0,7.7,2024,$337.6 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
ASM Pacific,P145,organization,SGP,SGP,Auto ball bonders for non-IC,N135,Auto ball bonders for non-IC,tool_resource,,,2024.0,44.0,2024,$140.1 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
ASM Pacific,P145,organization,SGP,SGP,Automatic wedge bonders,N136,Automatic wedge bonders,tool_resource,,,2024.0,27.2,2024,$100 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
ASM Pacific,P145,organization,SGP,SGP,Wafer level stud bonders,N137,Wafer level stud bonders,tool_resource,,,2024.0,62.2,2024,$25.2 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
ASM Pacific,P145,organization,SGP,SGP,Assembly inspection tools,N70,Assembly inspection tools,tool_resource,,,2024.0,12.6,2024,$241.1 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
ASM Pacific,P145,organization,SGP,SGP,Dicing tools,N71,Dicing tools,tool_resource,,,2024.0,1.7,2024,$1.8 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
ASM Pacific,P145,organization,SGP,SGP,Bonding tools,N72,Bonding tools,tool_resource,,,2024.0,16.5,2024,$2.3 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
ASM Pacific,P145,organization,SGP,SGP,Die attaching tools,N73,Die attaching tools,tool_resource,,,2024.0,15.3,2024,$1.4 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
ASM Pacific,P145,organization,SGP,SGP,Wire bonding tools,N74,Wire bonding tools,tool_resource,,,2024.0,21.9,2024,$702.5 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
ASM Pacific,P145,organization,SGP,SGP,Other interconnect tools,N75,Other interconnect tools,tool_resource,,,2024.0,6.9,2024,$222.1 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
ASM Pacific,P145,organization,SGP,SGP,Packaging tools,N76,Packaging tools,tool_resource,,,2024.0,3.1,2024,$675.9 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
ASM Pacific,P145,organization,SGP,SGP,Integrated assembly tools,N77,Integrated assembly tools,tool_resource,,,2024.0,97.8,2024,$22.1 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
ASM Pacific,P145,organization,SGP,SGP,Handlers and probers,N83,Handlers and probers,tool_resource,,,2024.0,1.4,2024,$2.2 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
ASML,P88,organization,NLD,NLD,KrF (DUV) lithography tools,N105,KrF (DUV) lithography tools,tool_resource,,,2024.0,79.2,2024,$2.7 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
ASML,P88,organization,NLD,NLD,i-line lithography tools,N106,i-line lithography tools,tool_resource,,,2024.0,35.7,2024,$1.1 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
ASML,P88,organization,NLD,NLD,Overlay metrology tools,N114,Overlay metrology tools,tool_resource,,,2024.0,45.1,2024,$906.6 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
ASML,P88,organization,NLD,NLD,E-beam metrology tools,N115,E-beam metrology tools,tool_resource,,,2024.0,37.6,2024,$769.5 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
ASML,P88,organization,NLD,NLD,Lithography tools,N19,Lithography tools,tool_resource,,,2024.0,78.5,2024,$29.1 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
ASML,P88,organization,NLD,NLD,EUV lithography tools,N20,EUV lithography tools,tool_resource,,,2024.0,100.0,2024,$9 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
ASML,P88,organization,NLD,NLD,ArF dry (DUV) lithography tools,N21,ArF dry (DUV) lithography tools,tool_resource,,,2024.0,94.3,2024,$887.8 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
ASML,P88,organization,NLD,NLD,ArF immersion (DUV) lithography tools,N22,ArF immersion (DUV) lithography tools,tool_resource,,,2024.0,98.7,2024,$10.6 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
ASML,P88,organization,NLD,NLD,Process control tools,N60,Process control tools,tool_resource,,,2024.0,5.2,2024,$13.4 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
ASTI,P146,organization,SGP,SGP,Assembly inspection tools,N70,Assembly inspection tools,tool_resource,,,2024.0,8.2,2024,$241.1 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
AUT,P80,country,,AUT,Wafer bonding and aligning tools,N10,Wafer bonding and aligning tools,tool_resource,,,2024.0,55.6,2024,$520.9 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AUT,P80,country,,AUT,Imprint lithography,N107,Imprint lithography,tool_resource,,,2024.0,87.5,2024,$29.5 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AUT,P80,country,,AUT,Fabrication tools (for advanced packaging),N109,Fabrication tools (for advanced packaging),tool_resource,,,2024.0,4.9,2024,$5.9 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AUT,P80,country,,AUT,Mask aligners,N123,Mask aligners,tool_resource,,,2024.0,4.3,2024,$214.3 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AUT,P80,country,,AUT,Lithography tools,N19,Lithography tools,tool_resource,,,2024.0,1.6,2024,$29.1 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AUT,P80,country,,AUT,Mask exposure systems - e-beam,N29,Mask exposure systems - e-beam,tool_resource,,,2024.0,46.4,2024,$951.8 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AUT,P80,country,,AUT,Wet etching and cleaning tools,N49,Wet etching and cleaning tools,tool_resource,,,2024.0,0.1,2024,$6.4 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AUT,P80,country,,AUT,Etch and clean tools,N55,Etch and clean tools,tool_resource,,,2024.0,0.0,2024,$24.7 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
AccoTEST,P182,organization,CHN,CHN,Test tools,N120,Test tools,tool_resource,,,2024.0,1.9,2024,$6 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
AccoTEST,P182,organization,CHN,CHN,Linear and discrete testing tools,N82,Linear and discrete testing tools,tool_resource,,,2024.0,36.9,2024,$224.8 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
Accretech,P60,organization,JPN,JPN,Dicing tools,N71,Dicing tools,tool_resource,,,2024.0,8.2,2024,$1.8 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
Accretech,P60,organization,JPN,JPN,Handlers and probers,N83,Handlers and probers,tool_resource,,,2024.0,19.3,2024,$2.2 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
Accretech,P60,organization,JPN,JPN,Crystal machining tools,N9,Crystal machining tools,tool_resource,,,2024.0,25.5,2024,$312.3 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Advantest,P175,organization,JPN,JPN,Test tools,N120,Test tools,tool_resource,,,2024.0,55.6,2024,$6 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
Advantest,P175,organization,JPN,JPN,Memory test tools,N79,Memory test tools,tool_resource,,,2024.0,62.7,2024,$1.6 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
Advantest,P175,organization,JPN,JPN,SoC test tools,N80,SoC test tools,tool_resource,,,2024.0,58.1,2024,$4 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
Advantest,P175,organization,JPN,JPN,Burn-in test tools,N81,Burn-in test tools,tool_resource,,,2024.0,14.7,2024,$215.2 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
Advantest,P175,organization,JPN,JPN,Handlers and probers,N83,Handlers and probers,tool_resource,,,2024.0,2.4,2024,$2.2 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
Aehr Test Systems,P314,organization,USA,USA,Burn-in test tools,N81,Burn-in test tools,tool_resource,,,2024.0,7.5,2024,$215.2 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
Aemulus,P315,organization,MYS,MYS,Linear and discrete testing tools,N82,Linear and discrete testing tools,tool_resource,,,2024.0,3.8,2024,$224.8 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
Aixtron,P405,organization,DEU,DEU,Other deposition tools (non-IC),N138,Other deposition tools (non-IC),tool_resource,,,2024.0,21.4,2024,$1.5 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Aixtron,P405,organization,DEU,DEU,Deposition tools,N36,Deposition tools,tool_resource,,,2024.0,1.3,2024,$24.1 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
All Ring Tech,P355,organization,TWN,TWN,Assembly inspection tools,N70,Assembly inspection tools,tool_resource,,,2024.0,1.5,2024,$241.1 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
Applied Materials,P81,organization,USA,USA,Dry etching tools (adv. pkg.),N101,Dry etching tools (adv. pkg.),tool_resource,,,2024.0,14.5,2024,$831.6 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Applied Materials,P81,organization,USA,USA,Dry etch tools,N103,Dry etch tools,tool_resource,,,2024.0,18.5,2024,$18.5 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Applied Materials,P81,organization,USA,USA,Plasma modification tools,N104,Plasma modification tools,tool_resource,,,2024.0,86.9,2024,$702.4 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Applied Materials,P81,organization,USA,USA,Fabrication tools (for advanced packaging),N109,Fabrication tools (for advanced packaging),tool_resource,,,2024.0,28.8,2024,$5.9 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Applied Materials,P81,organization,USA,USA,CVD tools (adv. pkg.),N110,CVD tools (adv. pkg.),tool_resource,,,2024.0,55.0,2024,$383.1 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Applied Materials,P81,organization,USA,USA,PVD tools (adv. pkg.),N111,PVD tools (adv. pkg.),tool_resource,,,2024.0,70.4,2024,$1.2 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Applied Materials,P81,organization,USA,USA,ECP tools (adv. pkg.),N113,ECP tools (adv. pkg.),tool_resource,,,2024.0,19.4,2024,$1.1 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Applied Materials,P81,organization,USA,USA,E-beam metrology tools,N115,E-beam metrology tools,tool_resource,,,2024.0,49.5,2024,$769.5 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Applied Materials,P81,organization,USA,USA,Defect review stations,N116,Defect review stations,tool_resource,,,2024.0,71.9,2024,$618.1 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Applied Materials,P81,organization,USA,USA,CMP tools (adv. pkg.),N124,CMP tools (adv. pkg.),tool_resource,,,2024.0,80.8,2024,$376.7 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Applied Materials,P81,organization,USA,USA,Lithography tools (adv. pkg.),N127,Lithography tools (adv. pkg.),tool_resource,,,2024.0,17.5,2024,$275.6 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Applied Materials,P81,organization,USA,USA,Deposition tools (adv. pkg.),N128,Deposition tools (adv. pkg.),tool_resource,,,2024.0,47.3,2024,$2.6 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Applied Materials,P81,organization,USA,USA,Etch and clean tools (adv. pkg.),N129,Etch and clean tools (adv. pkg.),tool_resource,,,2024.0,9.8,2024,$1.2 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Applied Materials,P81,organization,USA,USA,Direct write systems (adv. pkg.),N130,Direct write systems (adv. pkg.),tool_resource,,,2024.0,100.0,2024,$48.1 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Applied Materials,P81,organization,USA,USA,Ion implanters,N17,Ion implanters,tool_resource,,,2024.0,67.8,2024,$3.5 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Applied Materials,P81,organization,USA,USA,Mask exposure systems - laser beam,N30,Mask exposure systems - laser beam,tool_resource,,,2024.0,61.4,2024,$185 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Applied Materials,P81,organization,USA,USA,Deposition tools,N36,Deposition tools,tool_resource,,,2024.0,44.8,2024,$24.1 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Applied Materials,P81,organization,USA,USA,Plasma CVD tools,N38,Plasma CVD tools,tool_resource,,,2024.0,57.7,2024,$6.3 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Applied Materials,P81,organization,USA,USA,Low-pressure CVD tools,N39,Low-pressure CVD tools,tool_resource,,,2024.0,18.9,2024,$1.8 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
Applied Materials,P81,organization,USA,USA,High-temperature CVD tools,N40,High-temperature CVD tools,tool_resource,,,2024.0,73.4,2024,$1.5 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
